Título_Público Descricao_pública																																																				
Açúcar de frutas e aplicação em bolos como substituto da sacarose O uso de inovações tecnológicas auxilia as indústrias a desenvolverem modelos sustentáveis de produção	produtos e serviços de forma sustentável a partir de recursos de base biológica com papel importante no desenvolvimento econômico do Brasil	dessa maneira	contribui para os Objetivos de Desenvolvimento Sustentável (ODS) estabelecidos pela Organização das Nações Unidas (ONU) especialmente no âmbito do Objetivo 12 (Assegurar padrões de produção e de consumo sustentáveis). Diante desse cenário	a presenta proposta buscará desenvolver e produzir frutose em pó  que substitua a sacarose para atender o mercado de indústrias de alimentos.																																																
Desenvolver uma linha de farofas com castanhas brasileiras e adição de proteína animal O uso de inovações tecnológicas auxilia as indústrias a desenvolverem modelos sustentáveis de produção	destaca-se a necessidade de pesquisas com o objetivo de desenvolver produto inovador pronto para consumo	agregação de valor e diferenciação de sabores	em especial produtos oriundos das florestas brasileiras que contribuem para o desenvolvimento da bioeconomia no Brasil.  Esse estudo também se propõe a avaliar as características do novo produto para fins de informação nutricional da rotulagem e acompanhar o período de vida útil do produto. A empresa está em busca de apoio na inovação e melhoria dos processos para desenvolver uma linha de produção sustentável com o uso de castanhas brasileiras	devido a grande diversidade dessas castanhas com alto valor nutricional e com sabor	aroma e alto nível de aceitação ampliando a diversificação de produtos.																																															
Desenvolvimento de cobertura líquida para sorvete O Brasil é considerado um país com a maior biodiversidade do mundo	com diferentes espécies nos biomas da Amazônia	Mata Atlântica e Cerrado	onde são encontradas plantas frutíferas nativas e importadas que possuem características nutricionais importantes. Dessa forma	busca-se desenvolver produtos inovadores com base nessas espécies promovendo o Desenvolvimento Sustentável (DS) com benefícios ambientais	sociais e econômicos	o que contribui para o desenvolvimento da bioeconomia no Brasil. A presente proposta está diretamente ligada à utilização de processos tecnológicos/biotecnológicos para o desenvolvimento e valorização de produtos a partir de Plantas Alimentícias Não Convencionais (PANC)	alimentos e nutrição humana	linhas estas	relacionados aos Objetivos de Desenvolvimento Sustentável (ODS) da Organização das Nações Unidas (ONU).																																											
Desenvolvimento de conserva de tomate cereja O Brasil é considerado o país com maior biodiversidade do mundo	com diferentes espécies nos biomas da Amazônia	Mata Atlântica e Cerrado	onde são encontradas plantas frutíferas nativas	que possuem características nutricionais importantes. A maior preocupação em promover o Desenvolvimento Sustentável (DS) tem levado à ascensão das inovações sustentáveis	entendidas como as que integram benefícios ambientais	sociais e econômicos	e com diferencial competitivo. Em Mato Grosso do Sul	entre os abundantes frutos nativos do Cerrado	o baru (Dipteryx alata)	têm se destacado por ser fonte de renda para famílias	contribuindo para a conservação da biodiversidade. Neste sentido	através da inovação tecnológica	o objetivo da presente pesquisa é desenvolver uma conserva com espécies do Cerrado	contribuindo para o aumento da competitividade de mercado e consequente fomento da economia além da preservação ambiental.																																						
Micropropagação vegetal da alfavaca para obtenção de bioativos de valor agregado com foco no agronegócio. O objetivo geral do presente projeto é desenvolver a micropropagação vegetal da alfavaca para a obtenção de bioativos de valor agregado com foco no agronegócio.Desenvolver protocolos para introdução e estabelecimento in vitro de 2 (duas) espécies: alfavaca-cravo e alfavaca-da-índia; Desenvolver protocolos e otimizar o processo de multiplicação e enraizamento	in vitro	da cultura de alfavaca; Desenvolver e otimizar protocolos de aclimatização das duas espécies de alfavaca; Controlar contaminantes na micropropagação vegetal das espécies de alfavaca; Extrair bioativos por técnicas de hidrodestilação e por CO2 supercrítico em diferentes condições climáticas e de estações do ano; Desenvolver bioprodutos	a partir das espécies de alfavaca	de interesse econômico para melhorar o desempenho de culturas vegetais; Caracterizar e realizar os ensaios de toxicidade dos bioativos e dos bioprodutos obtidos/desenvolvidos das espécies de alfavaca; Acompanhar e avaliar o desempenho da produção	em campo	das espécies de alfavaca provenientes de mudas micropropagadas.																																														
AGILE - Engrenagens de manufatura aditiva com infiltração polimérica para aplicações relacionadas à eletromobilidade Projeto para mapear o potencial de engrenagens com infiltração polimérica e fabricadas pelos processos de Manufatura Aditiva para aplicações relacionadas à eletromobilidade. O projeto visa comparar o desempenho de dois processos diferentes de manufatura aditiva	além de estudar o impacto da cadeia de fabricação na integridade de superfície.																																																			
AgriGear - Superacabamento de engrenagens para aumento da capacidade de carga de engrenagens agrícolas O sistema de transmissão de um veículo é responsável por gerenciar a força e a potência do motor	transmitindo força e potência para as rodas. Essa conexão possui como principais componentes elemento as engrenagens	que são responsáveis pela relação de transmissão.  O objetivo do projeto é verificar os efeitos do processo de superacabamento isotrópico (Isotropic Superfinishing) na durabilidade das engrenagens da transmissão em aplicação agrícola. Em especial	o projeto investigará em bancada de recirculação de potência o efeito do superacabamento sobre a vida em fadiga de engrenagens																																																	
Caixa de Transmissão IoT para monitoramento de vida - Gearbox Connect O projeto em questão é o desenvolvimento de uma solução IoT capaz monitorar e transmitir informações sobre a vida de sistemas de transmissão. Tem como diferencial tecnológico a capacidade de relacionar sinais aquisitados com os respectivos elementos e seus modos de falha mais comuns. Ainda	será composto por um módulo de conectividade para permitir o registro de dados na nuvem. Com isso	espera-se obter um sensor de vibração IoT que possa ser utilizado em diferentes sistemas de transmissão	permitindo uma análise mais precisa e eficiente dos dados coletados. Além disso	espera-se que o sensor de vibração seja capaz de contribuir para a identificação de problemas em sistemas de transmissão e possibilitar a tomada de decisões mais assertivas em relação a manutenções e reparos. Para alcançar esses objetivos	será necessário realizar testes em sistemas de transmissão	a fim de validar o produto e garantir que o algoritmo desenvolvido seja capaz de diferenciar as frequências dos dispositivos acoplados ao sistema. O resultado esperado é um sensor de vibração IoT preciso e confiável que possa ser utilizado em diferentes setores industriais para monitorar a vibração em tempo real e ajudar a prevenir falhas de equipamentos.																																														
DfTP - Avaliação Termofluídica de uma Caixa de Transmissão O objetivo desse projeto é a avaliação experimental do comportamento termo fluídico gerado pela agitação de óleo em caixas de transmissão. Como especial consideração	o projeto viabilizará o acoplamento do estudo investigativo em bancada de testes para engrenagens com um modelo termo fluídico computacional (CFD) desenvolvido pelos parceiros para avaliação do comportamento térmico da caixa de transmissão durante operação. A investigação proposta é fundamentada por uma contextualização inicial	estabelecendo o objetivo do projeto. Esta deriva perguntas de pesquisa que direcionam a abordagem técnica e os resultados esperados.																																																		
DRS: DEMO - Demonstrador Técnico Econômico de Tensões Residuais O estado de tensão residual influencia amplamente nas propriedades mecânicas de componentes mecânicos	como na resistência estática e na fadiga. Devido à sua natureza complexa	o conhecimento sobre os benefícios das tensões residuais na vida em fadiga de muitos componentes mecânicos	como as engrenagens	não está propriamente incorporado em normas de projeto. Tal lacuna	por sua vez	traz desafios relacionados à mensuração dos benefícios técnicos e econômicos diretos que poderiam ser gerados pela consideração do efeito das tensões residuais já na fase de projeto dos referidos componentes. Além de redução de volume/massa dos componentes	efeitos no tempo e nos custos dos processos de fabricação podem ser gerados	dentre outros aspectos. Em cooperação com uma startup parceira	esse projeto tem por objetivo a quantificação dos benefícios técnicos e econômicos de tensões residuais no projeto e na fabricação de componente mecânico de um sistema de transmissão de potência.																																											
Manufatura Aditiva de Metais do Brasil (MAM BRASIL) Transformações no setor automotivo inseridas no contexto da indústria 4.0 e eletromobilidade têm-se direcionado à imposição de novos requisitos em relação à mobilidade. Tais requisitos são: o aumento da resistência à fadiga	menores níveis de ruído	vibração e aspereza (noise	vibration and harshness  NVH) e maior eficiência de transmissão. A Manufatura Aditiva (MA) com técnicas indiretas é uma tecnologia que tem apresentado vasto potencial para atender as indústrias nesse sentido. Nesse contexto	esse projeto de cooperação entre ALKIMAT e ITA tem como objetivo o mapeamento do potencial de engrenagens manufaturadas por iSLS para aplicações automotivas. Os desafios consistem em obter uma superfície densificada que atenda os requisitos automotivos.																																																
AGROSYSTEM A Agrosystem concentra seus esforços no desenvolvimento de maquinário agrícola de precisão	destacando-se por integrar motores elétricos	sensores e embreagens aos seus implementos agrícolas. O cerne desse projeto reside na busca pela otimização de energia veicular. Nesse contexto	a fonte de energia destinada a alimentar esses dispositivos é estrategicamente derivada da energia mecânica gerada pelo giro do eixo	convertida posteriormente em energia elétrica	ou pelo aproveitamento do fluxo de óleo. A justificativa para tal empreendimento reside na imperatividade de conceber um gerador elétrico especificamente projetado para se acoplar à tomada de potência do trator. Para viabilizar esse intento	torna-se imperativo o desenvolvimento de projetos elétricos	mecânicos para suporte estrutural e conexões elétricas. Adicionalmente	é crucial apresentar uma análise comparativa dos diferentes geradores. Este projeto	alinhado com a premissa central de otimização de energia	se insere de maneira significativa no âmbito da eletrificação veicular	contribuindo substancialmente para o aumento da eficiência energética nos veículos agrícolas.																																									
HUAWEI - PV generation with optimal BESS based on AI Executar atividades de pesquisa e desenvolvimento de uma solução de gerenciamento ótimo de Armazenamento de Energia (BESS) aplicados a plantas centralizadas fotovoltaicas (FV) baseada em Inteligência Artificial (IA)	com conexão através da rede de telefonia móvel 5G.																																																			
HUAWEI SOLAR TRACKING CONTROL (AI BASED) O Objetivo deste projeto consiste no desenvolvimento de um sistema baseado em Inteligência Artificial (IA) que permita o posicionamento ótimo de painéis solares instalados sob sistemas de posicionamento (trackers) para uma maior geração em dias chuvosos ou nublados.																																																				
Siemens-Energy Análise dos dados coletados na indústria	estruturação	organização e validação do banco de dados das variáveis de interesse para criação dos modelos;  Modelagem termodinâmica das configurações	respeitando os parâmetros físicos e tecnológicos de cada equipamento; Definição do Gêmeo Digital a partir da modelagem termodinâmica dos principais componentes do ciclo combinado da usina	visando otimização operacional;																																																
Sistema de Gestão da Manutenção Industrial baseado em IoT O produto a ser desenvolvido nesta proposta será um dispositivo sensor para monitoramento prévio de falhas em máquinas rotativas	amplamente utilizadas na indústria. A identificação prévia de falhas é fundamental para a manutenção preditiva e	quando bem executada	tem potencial de reduzir dramaticamente paradas inesperadas de setores de produção inteiros e assim evitar altíssimas perdas financeiras na indústria. Perdas por parada inesperadas é uma das maiores problemas de otimização de energia no setor industrial. Na solução proposta serão desenvolvidos módulos sensores para a medição das seguintes variáveis mecânico-física: vibração e temperatura (defeitos em rolamento	desbalanceamento	desalinhamento	empenamento de eixo	folgas mecânicas e roçamento	desgastes e falhas em engrenamento	entre possíveis outros defeitos). Além disso	também serão sensoriados parâmetros elétricos das máquinas para otimizar e complementar a análise vibracional e para verificação de status e falhas.																																										
Sistema de Localização de Pontos de Derivação Fraudulenta em Ramais de Entrada Desenvolvimento de solução não-invasiva para a identificação de pontos de desvio fraudulentos de energia em ramais de entrada de unidades consumidoras conectadas em baixa tensão.																																																				
5G-EdgeServices Projeto e desenvolvimento de um arcabouço de ferramentas de software em nível de prova de conceito para a avaliação de modelos de serviços e aplicações para redes de 5G com o uso da computação na borda.																																																				
5GApps Plataforma de software para Edge Computing baseada em 5G.																																																				
Accounting Integration Desenvolvimento de solução tecnológica para prover a automação e inovação no processo de registro	processamento e análise de informações contábeis.																																																			
ACELERA VTEX Prototipação  de COMPONENTES DE INTERCEPTAÇÃO INTELIGENTE (CII) que utilizem métricas de microsserviços para	através de inteligência artificial	melhorar o desempenho do microsserviço.																																																		
Active SIP Software embarcado para gerenciamento remoto de dispositivos de segurança.																																																				
Active-IoT Plataforma IoT para centrais de alarme.																																																				
ADRs Software embarcado para central de monitoramento para a comunicação com equipamentos médicos.																																																				
Agile-Installer Software embarcado aplicado à instalação e diagnóstico de inversores fotovoltaicos.																																																				
AGORA DIGITAL Plataforma de software para inteligência regulatória.																																																				
AIPIM O projeto AIPIM  Análise Inteligente de Propriedade Imaterial  tem como objetivo o estudo	concepção	adaptação	implementação e avaliação de técnicas de Inteligência Artificial para viabilizar: (i) a gestão de uma grande coleção de patentes da indústria brasileira; e (ii) uma maior automação do processo de análise de conteúdo patentário	especialmente para verificação estrutural comparativa entre o conteúdo de patentes existentes e técnicas ainda em segredo industrial e que sejam passíveis de registro.																																																
ALDAR Desenvolvimento de sistema de software multi-plataforma (web/móvel) para gestão de SIM Cards e serviços relacionados.																																																				
Alocação de recursos em infraestruturas geograficamente distribuídas. Este projeto visa o desenvolvimento de modelos de desempenho para guiar a alocação de recursos em infraestruturas de computação na nuvem que usam o modelo IaaS (infrastructure as a service) sobre centros de processamento de dados geograficamente distribuídos.																																																				
AMTS-Acompanhamento e monitoramento térmico seguro Este projeto tem como objetivo desenvolver uma plataforma para a identificação e rastreamento de pessoas apresentado estados febris em ambientes escolares	comerciais e industriais para a mitigação de impacto de contaminação por COVID-19. O sistema a ser desenvolvido utilizará câmeras no espectro do infravermelho e da luz visível para detecção do estado febril e reconhecimento facial	respectivamente. A partir do reconhecimento facial com a identificação positiva do estado febril	ações adicionais serão tomadas	como o envio de mensagens para monitoramento e consulta dos sintomas das pessoas	principalmente as que compõem o grupo de risco. O sistema proposto municiará de dados os gestores em especial nas transições entre o isolamento social horizontal	vertical e/ou para futuros ciclos de novos isolamentos. Por causa da coleta de dados sensíveis	o sistema considerará abordagens no estado da arte de privacidade e segurança de dados. O resultado do projeto será um conjunto de subsistemas realísticos e validados em ambiente relevante que poderão ser rapidamente combinados para a geração de um produto funcional.																																													
Análise Avançada de Dados de Telemetria de Dispositivos para Otimização de Experiência Projeto de pesquisa e desenvolvimento de uma solução de software capaz de realizar o processamento de grandes quantidades de dados de telemetria de dispositivos	baseada em técnicas de inteligência artificial e análise de dados.																																																			
Análise Avançada de Dados de Telemetria de Sistemas e Fluxos de Trabalho para Melhoria de Desempenho O projeto se refere à pesquisa e desenvolvimento de uma solução de software baseada em tecnologias de big data combinadas para realizar o processamento de grandes quantidades de dados de telemetria	de forma a identificar fluxos de trabalho e determinar melhorias de desempenho dos sistemas.																																																			
Análise de dados aplicada a gerenciamento de sistemas de comércio eletrônico Pesquisa e desenvolvimento de um arcabouço de ciência de dados voltados para comércio eletrônico que viabilizem sugestões automáticas de conteúdo para venda.																																																				
Análise de dados aplicada a gerenciamento de sistemas de pagamento móveis Investigação	experimentação e projeto de um sistema de software que viabilize estruturação de dados provenientes do monitoramento e controle de sistemas de pagamento através de serviços em nuvem.																																																			
Análise de dados e Gestão de Casos de Testes aplicados a uma plataforma para Controle e Garantia de Qualidade Análise de dados aplicada para propositura de casos de testes em uma plataforma de software capaz de realizar o gerenciamento e controle dos processos de garantira de qualidade em equipamentos de rede.																																																				
ANDROID SOL Software embarcado para suporte à implantação	manutenção e operação de infraestrutura de comunicação móvel.																																																			
ANGULAR JSF Framework para software em nuvem baseado na integração de JSF e Angular.																																																				
App Control Desenvolvimento de uma plataforma de software para criação	atualização e controle de chaves de segurança para aplicativos em terminais Ingênico.																																																			
App DUBOM  Plataforma mobile para gerenciamento de indicadores de processos na indústria de sorvetes O objetivo do projeto é desenvolver um aplicativo para dispositivos móveis voltado para a integração e gerenciamento de indicadores na indústria de sorvetes. Esta é uma parceria com uma indústria local que produz sorvetes para todo o estado da Paraíba. Espera-se como resultado do projeto	transferência de tecnologia para o setor industrial e modernização dos processos	abrindo novas perspectivas e oportunidades para o segmento entrar de vez nos conceitos de Internet das Coisas e Indústria 4.0.																																																		
AppFirmaFacil Solução para reconhecimento automático de firma em dispositivos móveis portáteis.																																																				
Ar-Tools Ferramentas de software para realidade aumentada para suporte à manutenção de equipamentos.																																																				
ARIC Plataforma de software para Análise de Reuso e Integração de Componentes ePT																																																				
ASEB Protótipo de sistema para automação do processo de ensaio de baterias.																																																				
AUTOMOB Software para dispositivos portáteis para suporte à execução automatizada de processos de operação e manutenção.																																																				
AutoPatents - Classificação Automatizada de Pedidos de Patente Desenvolvimento de solução tecnológica para classificação automatizada de pedidos de patente.																																																				
BANSHEE Software embarcado para TVs para suporte à acessibilidade de conteúdo.																																																				
Bazooca Plataforma integrada de software de logística de coleta e entrega de mercadorias em larga escala.																																																				
BEACON Software embarcado de localização indoor.																																																				
Bemago Sistema para análise de dados de passagem de usuários.																																																				
BillCrawler O projeto objetiva o desenvolvimento de pesquisa e aplicação de técnicas de data scraping no contexto de dados financeiros de contas a pagar. O BillCrawler viabilizará a obtenção e integração de dados	provenientes de diferentes serviços	com formatos e acesso próprios. Isso possibilitará a criação de um dashboard para melhor gestão de contas do usuário.																																																		
BIOMETRIC DETECTION Software para detecção facial e biométrica usando vídeo.																																																				
BR100 Sistema embarcado para processamento de taxas de dados acima de 100 Gigabits por segundo para sistemas de comunicação.																																																				
BURN IN Software para dispositivos portáteis para realização de testes de estresses de dispositivos																																																				
Capture Management Projeto de pesquisa e desenvolvimento de uma solução de visão computacional capaz de gerar imagens de super-resolução	baseada em técnicas de inteligência artificial.																																																			
CENTRAL LIGHT Software para o controle e armazenamento de dados para múltiplas Centrais de Monitoramento de Pacientes.																																																				
CISOP Pesquisa e desenvolvimento de uma solução inteligente para apoio ao processo de customização e venda de servidores.																																																				
CLOUDISH-II Simulador para avaliar a viabilidade do escalonador para provedores de nuvem.																																																				
